route,method,action,middleware,public,auth_mode,expected,actual_status,result,evidence
api/books/{id}/sell,POST,App\Modules\Inventory\Http\Controllers\BookController@sell,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,limited,never 5xx,422,PASS,"POST /api/books/2835bfc1-0f5e-413d-b642-13d762faf76c/sell -> 422 {""message"":""The quantity field is required. (and 1 more error)"",""errors"":{""quantity"":[""The quantity "
api/branches,GET,App\Modules\Iam\Http\Controllers\BranchController@index,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,noauth,401,401,PASS,"GET /api/branches -> 401 {""message"":""Unauthenticated.""}"
api/branches,GET,App\Modules\Iam\Http\Controllers\BranchController@index,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,badauth,401,401,PASS,"GET /api/branches -> 401 {""message"":""Unauthenticated.""}"
api/branches,GET,App\Modules\Iam\Http\Controllers\BranchController@index,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,admin,never 5xx,200,PASS,"GET /api/branches -> 200 [{""id"":""5313e265-a15d-4355-a7e5-b825b1102241"",""campus_id"":""1d37d95e-2f5c-49cc-835e-5f64a9ddcc7f"",""na"
api/branches,GET,App\Modules\Iam\Http\Controllers\BranchController@index,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,limited,never 5xx,200,PASS,"GET /api/branches -> 200 [{""id"":""5313e265-a15d-4355-a7e5-b825b1102241"",""campus_id"":""1d37d95e-2f5c-49cc-835e-5f64a9ddcc7f"",""na"
api/branches,POST,App\Modules\Iam\Http\Controllers\BranchController@store,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,noauth,401,401,PASS,"POST /api/branches -> 401 {""message"":""Unauthenticated.""}"
api/branches,POST,App\Modules\Iam\Http\Controllers\BranchController@store,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,badauth,401,401,PASS,"POST /api/branches -> 401 {""message"":""Unauthenticated.""}"
api/branches,POST,App\Modules\Iam\Http\Controllers\BranchController@store,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,admin,never 5xx,422,PASS,"POST /api/branches -> 422 {""message"":""The name field is required. (and 1 more error)"",""errors"":{""name"":[""The name field is req"
api/branches,POST,App\Modules\Iam\Http\Controllers\BranchController@store,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,limited,never 5xx,422,PASS,"POST /api/branches -> 422 {""message"":""The name field is required. (and 1 more error)"",""errors"":{""name"":[""The name field is req"
api/branches/{id},GET,App\Modules\Iam\Http\Controllers\BranchController@show,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,noauth,401,401,PASS,"GET /api/branches/1fe42de5-cf76-48bc-be48-e9f79e7ba882 -> 401 {""message"":""Unauthenticated.""}"
api/branches/{id},GET,App\Modules\Iam\Http\Controllers\BranchController@show,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,badauth,401,401,PASS,"GET /api/branches/1fe42de5-cf76-48bc-be48-e9f79e7ba882 -> 401 {""message"":""Unauthenticated.""}"
api/branches/{id},GET,App\Modules\Iam\Http\Controllers\BranchController@show,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,admin,never 5xx,200,PASS,"GET /api/branches/1fe42de5-cf76-48bc-be48-e9f79e7ba882 -> 200 {""id"":""1fe42de5-cf76-48bc-be48-e9f79e7ba882"",""campus_id"":""1d37d95e-2f5c-49cc-835e-5f64a9ddcc7f"",""nam"
api/branches/{id},GET,App\Modules\Iam\Http\Controllers\BranchController@show,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,limited,never 5xx,403,WARN,"GET /api/branches/1fe42de5-cf76-48bc-be48-e9f79e7ba882 -> 403 {""message"":""Forbidden""}"
api/branches/{id},PATCH,App\Modules\Iam\Http\Controllers\BranchController@update,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,noauth,401,401,PASS,"PATCH /api/branches/1fe42de5-cf76-48bc-be48-e9f79e7ba882 -> 401 {""message"":""Unauthenticated.""}"
